
1,"这篇剧评可能有剧透
[Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert] [Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert] [Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert][Spoiler Alert]...  (展开)"
2,更多影视评论，可关注公众号：小片片说大片，每天更新~ 大家好，我是戴着眼镜拿着话筒的阿拉斯加片片。 堪称美剧史上最恢弘的作品《权力的游戏》，终于迎来了第八季。无数人翘首以盼，等得是海枯石烂。 作为一部曾斩获13项艾美奖的美剧之王，片片还记得2011年的那个春天，第一...  (展开)
3,"这篇剧评可能有剧透
本来本人这几日很忙，打算不写大结局评论了，但编剧疯癫的程度超过了我的想象。我如果是马丁，今天晚上看完这个结局，现在人已经在emergency Room！再降一星，丧心病狂么？不，负分滚出，才是应有选项！ 第三集大家都在骂的时候，我觉得没关系，这是权力的游戏。而看到第四集，...  (展开)"
4,真的没想到，有一天我会给权游打出一星。 看完最后一集，我甚至希望豆瓣能打负分。第6集感想更新在最后。 看第八季第1集的时候，我习惯性给了5星 其实当时就有要糟的感觉，节奏拖沓，言之无物，一共只有6集，第1集还在磨磨唧唧地铺垫。 不过我告诉自己，为了最后的高潮，要有耐...  (展开)
5,"这篇剧评可能有剧透
最终季的第一集大概让很多人都失望了，因为竟然没有重要角色领便当。最庆幸的是托蒙德他们那几个人成功龙口脱险了。不但如此，托蒙德还借机炫耀了一下自己碧蓝的眼眸。我怀疑他这是在跟以碧眼闪亮著称的詹姆隔空较劲。 早在剧集开播之前，各路营销号就像是商量好了一样，都拿“...  (展开)"
6,"这篇剧评可能有剧透
评论里有人指正或提出了一些关于冰火内核的观点，还有不断问s8e4、e5e6的人，以下是我个人的一些看法。 虽然后三集，也是烂到了无可救药的地步，但是，人物的崩塌、剧情的不合逻辑，前几季就早已发生（虽然没有这么严重）。所以我依然觉得第三集对异鬼的处理，是整个剧集彻底烂...  (展开)"
7,观众：夜王和瑟曦露出诡异深邃的笑，后面应该藏有阴谋！ 编剧：只是笑而已，烘托气氛，只是笑，没有其它。 观众：布兰翻白眼，是要发大招了！ 编剧：只是翻白眼而已，烘托气氛，只是翻白眼，没有其它。 观众：琼恩吼冰龙，是要对决了！ 编剧：只是吼而已，烘托气氛，只是吼，吼...  (展开)
8,万众瞩目的第八季第三集播出了，作为冰与火、死与生的巅峰对决，耗资1500万美元媲美电影效果的80分钟大战，看完第一个感觉是，卧槽太牛逼了！第二感觉是，卧槽太傻逼了！ 没错，剧情跌宕起伏，氛围渲染完美，人物可歌可泣，看完很燃很爽。但作为一个智力生物，转念想想剧里的人...  (展开)
9,"这篇剧评可能有剧透
别再纠结评价几星了，不打算改了，就让一切回忆终止在第七季结尾吧，第八季只值三星。 更多详情: 谨此纪念本剧最悲剧的人物:伊耿·坦格利安六世: https://m.douban.com/movie/review/10114419/ ————————-E6————————- 悲剧的结果，所有的泄密是真的！百分之百真...  (展开)"
10,大结局 《权力的游戏》大结局了，这也算是有生之年吧，我们看着一部影响全球观众日常作息，影响电视剧发展走向的神剧诞生，又眼睁睁看着神剧跌落神坛，甚至坠入深渊，《权游》第八季从第5集开始，在观众眼里就永远翻不了身了。 民间传言，在《权游》第八季开拍前，黑客攻击了HB...  (展开)
