
1,"a song of ice and fire kitap serisinin dizisi cekiliyor. bu da ilk sezonun resmi adi. her kitap bir sezon olacak sekilde cekilecek seri cok iyi bir kadro ile hbo tarafindan yapiliyor.

http://www.imdb.com/title/tt0944947/

serinin kitaplari:
(bkz: a game of thrones)
(bkz: a clash of kings)
(bkz: a storm of swords)
(bkz: a feast for crows)
(bkz: ) son cikan kitap bu, sikici denebilir, bunalmistim bir noktadan sonra.
(bkz: ) asla cikmayacak gibi gorunuyor
(bkz: ) buna da george'un omru yetmez

(bkz: ) 'dan 300 yil once baslayan, hanedaninin kanli ve atesli tarihi. bu da diye bir dizi oluyormus.

edit: sana ne neyi editlediysem."
2,(bkz: a game of thrones)
3,"büyük ihtimalle dizi çekilecek gibi dursa da kesin karar verilmemiştir daha. pilot bölüm hbo'ya sunulmuş, mart ayında kararı verilecekmiş dizinin çekilip çekilmeyeceğine. ancak çekilirse bile 2011 şubatında yayınlanmaya başlayacakmış."
4,"2011 kışında yayınlanmaya başlayacağı kesinlenmiştir.

http://www.hbo.com/game-of-thrones
http://twitter.com/gameofthrones"
5,"heyecanla beklenmektedir. baharda başlayacakmış son yazılanlara göre. ned stark rolünde, daha önceden boromir olarak tanıdığımız sean bean'i görmek bile heyecan verirken, bir de o süper fragmanlar ile daha da çekici bir hal almıştır.

daha başlamadan favorim oldu anlayacağınız. kitaplardaki enfes tadı dizide de alırız umarım."
6,(bkz: winter is coming)
7,"hbo eğer çekimlerde çok büyük bir saçmalık yapmaz ise kurgu yanında hiçbir sorunu olmadığı için ortalığı fena halde dağıtacak seridir.

sanırım 17 nisan gibi yayına girecek.

(bkz: winter is coming)"
8,"bu kadroyla, bu temelle* ve arkasında hbo ile sıçması imkansız gibi duruyor. yanılmıyorsam çekimleri bir yıldır sürüyor (geçen sene açıkladıklarında görüntüler olduğuna göre..?) ve bu hiç bir detayın atlanmadığının işareti bence. şu trailerların onda biri kadar iyi olsa yeter zaten."
9,"posteri yayınlanmıştır.

http://twitpic.com/487sn3"
10,yayınlanan ilk fotoğraflarında sean bean'i ve lena headey'i gösterip heyecanlara gark ettiren dizi.
Review Number,Review Text
1,"(bkz: clash of kings)
(bkz: storm of swords)
(bkz: feast for crows)
(bkz: dance with dragons)
(bkz: winds of winter)
(bkz: dream of spring)
neyse zaten george r. r. martin'in yazacağı yoktu 5. kitabı bu yakınlarda (en iyi ihtimalle 2011 temmuz'u deniyor da, yeme bizi) beklemekten kanser olcağıma dizisine bakarım, hiç yoktan iyi.

~ ayrıca envai çeşit fragman seyrettim, direwolflar nerede?"
2,fantastik dizi yok* diye ağladığım anda camelot ile birlikte beni sevindiren iki diziden biridir. kalite konusunda lafımız olmaz haşa. biri starz diğeri hbo.
3,"bünyeye heyecan sardıran dizi. martin'in kitaplarını bayıla bayıla okuduktan sonra dizinin de aynı performansı sergileyeceğini ummaktayım, öte yandan lannister ikizlerini kimlerin oynayacağı ayrı bir merak unsurudur benim için. direwolflar olmazsa eksik olacak ghostsuz olmaz aga, karmaşık olay örgüsünü nasıl görüntüye dökeceğini de merak ediyorum yapımcıların, yönetmenin, senaristin neyin. kitaplardaki gibi karakterler üzerinden işleyen chapter mantığıyla giderlerse 30 yılda filan anca biter dizi. pek de güzel olur aslında sindire sindire izleriz. others olayını nasıl götürecekler o ayrı bir merak konusu. bir de targaryenler ve diğer eski ailelerle ilgili kısımlarda flashbackler olmazsa olmaz. ben yazayım da şimdiden sonra yok efendim ben duymadım ben bilmedim olmasın.

things i do for love... -jaime lannister

(bkz: a song of ice and fire)
(bkz: jon snow)
(bkz: george r r martin)"
